"id","title","overview","backdrop_path","popularity","poster_path","runtime","release_date","vote_average","vote_count","createdAt","updatedAt"
10016,"Ghosts of Mars","In 2176, a Martian police unit is sent to pick up a highly dangerous criminal at a remote mining post. Upon arrival, the cops find the post deserted and something far more dangerous than any criminal — the original inhabitants of Mars, hellbent on getting their planet back.","/anSbunnEMI0TSmizqUSRACoe18l.jpg",14.774,"/i2zztssCIbahGES1fdfWFmDXian.jpg","98","2001-08-24",5.141,948,"2023-06-21 14:45:20.042-04","2023-06-21 14:45:20.042-04"
17707,"Brokedown Palace","Best friends Alice and Darlene take a trip to Thailand after graduating high school. In Thailand, they meet a captivating Australian man, who calls himself Nick Parks. Darlene is particularly smitten with Nick and convinces Alice to take Nick up on his offer to treat the two of them to what amounts to a day trip to Hong Kong. In the airport, the girls are seized by the police and shocked to discover that one of their bags contains heroin.","/6YyvVFrVXBJ5crIXgOKJQv1BXx0.jpg",14.77,"/pWxoggA0KCS5oMPDOjIDYZYzryE.jpg","100","1999-08-13",6.401,327,"2023-06-21 15:09:29.02-04","2023-06-21 15:09:29.02-04"
26451,"Investigation of a Citizen Above Suspicion","Rome, Italy. After committing a heinous crime, a senior police officer exposes evidence incriminating him because his moral commitment prevents him from circumventing the law and the social order it protects.","/txKj2q2bBUl7KqPkcSx19qB7Ylw.jpg",14.765,"/vPTZwlq1IC4o1DCsEZEl2uGljzm.jpg","111","1970-10-16",8.187,676,"2023-06-21 15:00:37.974-04","2023-06-21 15:00:37.974-04"
994,"Straw Dogs","David Sumner, a mild-mannered academic from the United States, marries Amy, an Englishwoman. In order to escape a hectic stateside lifestyle, David and his wife relocate to the small town in rural Cornwall where Amy was raised. There, David is ostracized by the brutish men of the village, including Amy's old flame, Charlie. Eventually the taunts escalate, and two of the locals rape Amy. This sexual assault awakes a shockingly violent side of David.","/8eWzglk0uHAtbFgKb3lVTXnJvxp.jpg",14.762,"/yigkfHE1OhkxPPrjrV78Y9ibGEk.jpg","116","1971-12-23",7.146,800,"2023-06-21 14:58:22.424-04","2023-06-21 14:58:22.424-04"
11469,"Black Knight","Martin Lawrence plays Jamal, an employee in Medieval World amusement park. After nearly drowning in the moat, he awakens to find himself in 14th century England.","/udgq4FDqsRgJIACUrWlk1BRtUhf.jpg",14.754,"/pVxwVH461k9u4tUfRewT29DEZ2e.jpg","95","2001-11-21",5.383,1005,"2023-06-21 14:55:44.785-04","2023-06-21 14:55:44.785-04"
277685,"Unfriended","While video chatting one night, six high school friends receive a Skype message from a classmate who killed herself exactly one year ago. At first they think it's a prank, but when the girl starts revealing the friends' darkest secrets, they realize they are dealing with something out of this world, something that wants them dead.","/tv1cMZ3fmVTKH1FiNljjMrCvyz9.jpg",14.749,"/8byPxREr3BqBNyyij5WHVSOVtYk.jpg","82","2014-10-22",5.523,3121,"2023-06-21 14:59:59.479-04","2023-06-21 14:59:59.479-04"
12609,"Help! I'm a Fish","Three children accidentally get turned into fish after drinking a potion made by an eccentric scientist. The kids end up in the sea, with one problem. They must find and drink the antidote within 48 hours, or forever remain as fish.","/6l8lBSHrBSoiphNR96HQSE27PoV.jpg",14.737,"/s9yFQD19xJqXEnAnUAZFUan25DJ.jpg","80","2000-10-06",6.607,354,"2023-06-21 14:59:32.619-04","2023-06-21 14:59:32.619-04"
14926,"Uptown Girls","Molly Gunn, the freewheeling daughter of a deceased rock legend, is forced to get a job when her manager steals her money. As nanny for precocious Ray, the oft ignored daughter of a music executive she learns what it means to be an adult while teaching Ray how to be a child.","/7TvehiVjzE9hMvnq94mOYjP8kGT.jpg",14.734,"/liazMoopc2fhWq1YlfwasQcvWu.jpg","92","2003-08-15",6.616,713,"2023-06-21 14:57:15.248-04","2023-06-21 14:57:15.248-04"
47406,"Arabian Nights","The final part of Pasolini's Trilogy of Life series is rich with exotic tales of slaves and kings, potions, betrayals, demons and, most of all, love and lovemaking in all its myriad forms. Mysterious and liberating, this is an exquisitely dreamlike and adult interpretation of the original folk tales.","/fp315t2MuJs3jOPPsoY2Jv7ZdPQ.jpg",14.731,"/zDrAREfrNvq5O10lHDDh529i143.jpg","131","1974-06-20",6.625,160,"2023-06-21 15:04:44.499-04","2023-06-21 15:04:44.499-04"
86829,"Inside Llewyn Davis","In Greenwich Village in the early 1960s, gifted but volatile folk musician Llewyn Davis struggles with money, relationships, and his uncertain future.","/6QOZ7RGucRJLGvm7TH5k2BN0xSp.jpg",14.729,"/nNxK3pC3DMpPpWKMvo2p3liREVT.jpg","104","2013-10-13",7.202,2424,"2023-06-21 14:42:16.461-04","2023-06-21 14:42:16.461-04"
